Country,Source,Sex,Education,Area type,Year,Value
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: National,2020,50.5
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: Rural,2020,51.3
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Total,Area type: Urban,2020,46.9
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: National,2020,40.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: Rural,2020,41.6
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Less than basic,Area type: Urban,2020,32.6
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: National,2020,51.6
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: Rural,2020,52.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Basic,Area type: Urban,2020,43.7
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: National,2020,48.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: Rural,2020,49.2
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Intermediate,Area type: Urban,2020,47.3
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: National,2020,81.1
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: Rural,2020,83.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Advanced,Area type: Urban,2020,74.8
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: National,2020,21.3
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: Rural,2020,23.6
Sri Lanka,LFS - Labour Force Survey,Total,Aggregate levels: Level not stated,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: National,2020,71.8
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: Rural,2020,72.5
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Total,Area type: Urban,2020,68.4
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: National,2020,64.4
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: Rural,2020,64.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Less than basic,Area type: Urban,2020,60.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: National,2020,75.5
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: Rural,2020,76.3
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Basic,Area type: Urban,2020,70.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: National,2020,67.5
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: Rural,2020,68
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Intermediate,Area type: Urban,2020,66.1
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: National,2020,82.8
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: Rural,2020,85.6
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Advanced,Area type: Urban,2020,77.7
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: National,2020,27
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: Rural,2020,32
Sri Lanka,LFS - Labour Force Survey,Male,Aggregate levels: Level not stated,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: National,2020,32
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: Rural,2020,32.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Total,Area type: Urban,2020,27.9
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: National,2020,23.5
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: Rural,2020,24.3
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Less than basic,Area type: Urban,2020,16.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: National,2020,28.3
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: Rural,2020,29.9
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Basic,Area type: Urban,2020,18.7
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: National,2020,33.6
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: Rural,2020,34.4
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Intermediate,Area type: Urban,2020,30.7
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: National,2020,79.9
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: Rural,2020,82.8
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Advanced,Area type: Urban,2020,72.2
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: National,2020,
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: Rural,2020,
Sri Lanka,LFS - Labour Force Survey,Female,Aggregate levels: Level not stated,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: National,2020,50.5
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: Rural,2020,51.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: Total,Area type: Urban,2020,46.9
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: National,2020,31.6
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: Rural,2020,31.9
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: X. No schooling,Area type: Urban,2020,29.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: National,2020,44.1
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: Rural,2020,45
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 0. Early childhood education,Area type: Urban,2020,34
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: National,2020,51.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: Rural,2020,53.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 1. Primary education,Area type: Urban,2020,39.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: National,2020,51.5
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: Rural,2020,52.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 2. Lower secondary education,Area type: Urban,2020,46
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: National,2020,48.8
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: Rural,2020,49.2
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 3. Upper secondary education,Area type: Urban,2020,47.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: National,2020,81.1
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: Rural,2020,83.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 5. Short-cycle tertiary education,Area type: Urban,2020,74.7
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: National,2020,81
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: Rural,2020,84.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 6. Bachelor's or equivalent level,Area type: Urban,2020,75.4
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: National,2020,21.3
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: Rural,2020,23.6
Sri Lanka,LFS - Labour Force Survey,Total,ISCED-11: 9. Not elsewhere classified,Area type: Urban,2020,
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: National,2020,71.8
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: Rural,2020,72.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: Total,Area type: Urban,2020,68.4
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: National,2020,54.2
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: Rural,2020,54.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: X. No schooling,Area type: Urban,2020,54.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: National,2020,66.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: Rural,2020,67.3
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 0. Early childhood education,Area type: Urban,2020,62.4
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: National,2020,74.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: Rural,2020,76.2
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 1. Primary education,Area type: Urban,2020,65.6
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: National,2020,75.9
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: Rural,2020,76.4
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 2. Lower secondary education,Area type: Urban,2020,73.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: National,2020,67.5
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: Rural,2020,68
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 3. Upper secondary education,Area type: Urban,2020,66.1
Sri Lanka,LFS - Labour Force Survey,Male,ISCED-11: 5. Short-cycle tertiary education,Area type: National,2020,83.3
